nomor_registrasi,nama_produk,merk,jenis_kemasan,ukuran_kemasan,produsen,kota_produsen,provinsi_produsen
MD 268311030066,Minuman Teh Hijau,Bandulan,Botol Plastik, (330ml; 350ml; 500ml),CV BUDI DJAJA, Kota Pekalongan, Jawa Tengah
MD 268313089046,Minuman Teh Rasa Vanila,TEH GELAS,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320070024,Minuman Teh Rasa Vanila,TEH GELAS,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 869011001424,Minuman Teh Sereh Celup,Makutarama,Kertas Saring; Karton Plastik, (22.5 g / 15 pcs @ 1.5 g) ,MAKUTARAMA, Kota Semarang, Jawa Tengah
MD 268313007046,Minuman Teh Hijau Madu,TEH GELAS,Botol Plastik, (350ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 568310127014,Minuman Teh Melati,SOSRO - Khusus Ekspor,Kaleng, (318ml; 330ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310034211,Minuman Teh,TESONA,Botol Plastik, (350ml),PT SARI ENESIS INDAH, Kab. Bekasi, Jawa Barat
MD 268310125014,Minuman Teh Hijau Aroma Melati (Jasmine Green Tea),SOSRO - JOYTEA (Khusus Ekspor),Botol Plastik, (500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310002062,Minuman Teh Beraroma Melati,JAVANA,Botol Plastik, (200ml; 220ml; 350ml),PT TIRTA ALAM SEGAR, Kab. Bekasi, Jawa Barat
MD 268310009439,Minuman Teh Rasa Leci,POKKA,Botol Plastik, (250ml; 350ml; 450ml) ,PT POKKA DIMA INTERNATIONAL, Kab. Subang, Jawa Barat
MD 268310166047,Minuman Teh Rasa Vanila,S-tee,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310087243,Minuman Teh Rasa Melati,OT Legit Kental,Botol Plastik, (250ml; 350ml; 400ml; 425ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 468310028129,Minuman Teh Rasa Lemon,TEH KOTAK,Karton Laminat, (200ml; 300ml),PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY Tbk, Kab. Bandung Barat, Jawa Barat
MD 468310040129,Minuman Teh Rasa Apel,TEH KOTAK-Desain2,Karton Laminat, (200ml; 300ml),PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY Tbk, Kab. Bandung Barat, Jawa Barat
ML 268309119798,Minuman Teh Rasa Apel (Aomori Apple Tea),SECOMA,Botol Plastik, (500ml),PT MASUYA GRAHA TRIKENCANA, Kota Jakarta Utara, DKI Jakarta
ML 568309103757,Minuman Teh Rasa Susu (Thai Tea Drink),FOCO BRAND,Kaleng, (350ml),PT TTS ABADI, Kota Jakarta Barat, DKI Jakarta
MD 268310019243,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331035023,Minuman Teh Rasa Lemon,DOLPHIN,Plastik, (175ml; 200ml; 220ml; 240ml),PT DOLPHIN FOOD & BEVERAGES INDUSTRY, Kab. Tangerang, Banten
MD 268310016439,Minuman Teh Rasa Blueberry,POKKA,Botol Plastik, (250ml; 350ml; 450ml) ,PT POKKA DIMA INTERNATIONAL, Kab. Subang, Jawa Barat
MD 268310234047,Minuman Teh Rasa Apel Blackcurrant,SOSRO - Fruit Tea (Khusus Ekspor),Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468310006129,Minuman Teh Beraroma Melati,UJ Ultrajaya Teh Kotak,Karton Laminat, (200ml; 250ml; 300ml),PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY Tbk, Kab. Bandung Barat, Jawa Barat
MD 468310029129,Minuman Teh Rasa Blackcurrant,TEH KOTAK-Desain3,Karton Laminat, (200ml; 300ml),PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY Tbk, Kab. Bandung Barat, Jawa Barat
MD 268310232047,Minuman Teh Rasa Jeruk Yuzu (Yuzu Tea Drink),SOSRO - Fruit Tea (Khusus Ekspor),Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310019036,Minuman Teh Wangi Melati,PUCUK HARUM,Botol Plastik, (350ml; 500ml; 1500ml),PT TIRTA FRESINDO JAYA, Kota Jakarta Barat, DKI Jakarta
MD 468310123014,Minuman Teh Rasa Mangga,SOSRO,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310194047,Minuman Teh Rasa Mangga,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310008439,Minuman Teh Hijau Aroma Melati, POKKA,Botol Plastik, (250ml; 350ml; 450ml),PT POKKA DIMA INTERNATIONAL, Kab. Subang, Jawa Barat
MD 268310230047,Minuman Teh Rasa Jambu Klutuk ,SOSRO - Fruit Tea (Khusus Ekspor),Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310226047,Minuman Teh Rasa Markisa,SOSRO - Fruit Tea (Khusus Ekspor),Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268331017041,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313007045,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313028046,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320011024,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306014025,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313001045,Minuman Teh Hijau Melati,TEH GELAS, Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268311002253,Minuman Teh Hijau Rasa Jeruk Yuzu,-,Botol Plastik, (350mL),PT SAVORIA KREASI RASA, Kab. Kudus, Jawa Tengah
MD 268311001253,Minuman Teh Rasa Jeruk Yuzu,-,Botol Plastik, (350ml),PT SAVORIA KREASI RASA, Kab. Kudus, Jawa Tengah
MD 168311005386,Minuman Teh Dalam Kemasan ,SIPP,Botol Kaca, (222.5ml),PT TIRTA MEGAH CENDANA, Kab. Semarang, Jawa Tengah
MD 268322002001,Minuman Teh Rasa Blackcurrant,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268322005001,Minuman Teh Rasa Apel,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310058047,Minuman Teh Rasa Stroberi - Anggur,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268306003056,Minuman Teh dengan Gula Batu,RIO,Gelas Plastik, (190ml),PT ALAM PERKASA LESTARI, Kab. Banyuasin, Sumatera Selatan
MD 268328022092,Minuman Teh Dengan Dua Melati,ICHI OCHA,Botol Plastik, (350ml),PT ANUGERAH INDOFOOD BAROKAH MAKMUR, Kota Jakarta Selatan, DKI Jakarta
MD 268310220047,Minuman Teh Rasa Stroberi ,SOSRO - Fruit Tea (Khusus Ekspor),Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468310060014,Minuman Teh Melati,SOSRO - Khusus Ekspor,Karton Laminat, (250ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310218047,Minuman Teh Rasa Jambu Klutuk,SOSRO - Khusus Ekspor,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268306004056,Minuman Teh dengan Madu,RIO,Gelas Plastik, (190ml),PT ALAM PERKASA LESTARI, Kab. Banyuasin, Sumatera Selatan
MD 568329009004,Minuman Teh Hijau Rasa Madu Melati,Dbest,Kaleng, (320ml),PT INMAS SUNSHINE, Kab. Karimun, Kepulauan Riau
MD 268313061006,Minuman Teh Hitam Rasa Blackcurrant,Fiesta,Botol Plastik, (350ml; 450ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268310009509,Minuman Teh ,TEROSO,Gelas Plastik, (210ml),PT SURYA LESTARI ABADI, Kab. Bogor, Jawa Barat
MD 268313005238,Minuman Teh Oolong,MYTEA,Botol Plastik, (450ml),PT SUNTORY GARUDA BEVERAGE, Kota Jakarta Selatan, DKI Jakarta
MD 268310216047,Minuman Teh Rasa Lemon,SOSRO -  Khusus Ekspor,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268306005056,Minuman Teh Rasa Original,RIO,Gelas Plastik, (190ml),PT ALAM PERKASA LESTARI, Kab. Banyuasin, Sumatera Selatan
MD 268313001040,Minuman Teh dengan Gula Batu,RIO,Gelas Plastik, (190ml; 200ml),PT MITRA ALAM SEGAR, Kota Surabaya, Jawa Timur
MD 268313005040,Minuman Teh Rasa Original,RIO,Gelas Plastik, (190ml; 200ml),PT MITRA ALAM SEGAR, Kota Surabaya, Jawa Timur
MD 268313011040,Minuman Teh dengan Madu,RIO,Gelas Plastik, (190ml; 200ml) ,PT MITRA ALAM SEGAR, Kota Surabaya, Jawa Timur
MD 268310188047,Minuman Teh Melati,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310214047,Minuman Teh Rasa Blackcurrant,SOSRO - Khusus Ekspor,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313013006,Minuman Teh Hijau Rasa Melati,Fiesta,Botol Plastik, (350ml; 450ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268313053006,Minuman Teh Hitam Rasa Apel,Fiesta,Botol Plastik, (350ml; 450ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268313055006,Minuman Teh Hitam Rasa Markisa,Fiesta,Botol Plastik, (350ml; 450ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268310041014,Minuman Teh Rasa Apel,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310121014,Minuman Teh Melati,SOSRO - Khusus Ekspor,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313011118,Minuman Teh Wangi Melati,PUCUK HARUM,Botol Plastik, (350ml),PT TIRTA FRESINDO JAYA, Kota Jakarta Barat, DKI Jakarta
ML 268309149055,Minuman Teh Hijau Wangi Melati (Jasmine Green Tea),POKKA,Botol Plastik, (1500ml),PT DIMA INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268310032211,Minuman Teh Oolong,Adem Sari Ching Ku,Botol Plastik, (350ml),PT SARI ENESIS INDAH, Kab. Bekasi, Jawa Barat
MD 268310003509,Minuman Teh ,GUNUNG ,Gelas Plastik, (200ml),PT SURYA LESTARI ABADI, Kab. Bogor, Jawa Barat
MD 268310014439,Minuman Teh Oolong,POKKA,Botol Plastik, (250ml; 350ml; 450ml),PT POKKA DIMA INTERNATIONAL, Kab. Subang, Jawa Barat
ML 168310138032,Minuman Teh Hijau Susu (Milk Green Tea),JERI-ANN,Botol Kaca, (250ml),PT DINAMIK MULTI SUKSES, Kab. Bekasi, Jawa Barat
MD 168311027071,Minuman Teh,Indoteh Crown,Botol Kaca, (220ml),PT Indotirta Jaya Abadi, Kota Semarang, Jawa Tengah
MD 268302051021,Minuman Teh Rasa Apel,YOUNCO,Botol Plastik, (350ml),PT OLAGAFOOD INDUSTRI MAKANAN MINUMAN, Kota Medan, Sumatera Utara
MD 268302052021,Minuman Teh Rasa Jambu,YOUNCO,Botol Plastik, (350ml),PT OLAGAFOOD INDUSTRI MAKANAN MINUMAN, Kota Medan, Sumatera Utara
MD 268302057021,Minuman Teh Rasa Leci,YOUNCO ,Botol Plastik, (350ml),PT OLAGAFOOD INDUSTRI MAKANAN MINUMAN, Kota Medan, Sumatera Utara
MD 268302056021,Minuman Teh Rasa Anggur,OLAGA ,Botol Plastik, (350ml),PT OLAGAFOOD INDUSTRI MAKANAN MINUMAN, Kota Medan, Sumatera Utara
MD 268310204047,Minuman Teh Rasa Apel ,SOSRO - Khusus Ekspor,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310206047,Minuman Teh Rasa Stroberi Anggur,SOSRO - Khusus Ekspor,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310208047,Minuman Teh Rasa Lemon ,SOSRO - Fruit Tea (Khusus Ekspor),Botol Plastik, (300ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313013851,Minuman Teh Hijau Rasa Melati,GUNUNG SALDJU,Gelas Plastik, (100ml; 120ml; 150ml; 165ml; 175ml; 180ml),CV SINAR MAS JAYA, Kab. Pasuruan, Jawa Timur
MD 568310119014,Minuman Teh Rasa Stroberi Anggur Sensasi Dingin,SOSRO,Kaleng, (318ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310049047,Minuman Teh Rasa Stroberi,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310048047,Minuman Teh Rasa Apel - Blackcurrant,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310034072,Minuman Teh Rasa Madu,ZEGAR,Gelas Plastik, (165ml; 220ml),PT TANG MAS , Kota Depok, Jawa Barat
MD 268310012062,Minuman Teh dengan Madu,RIO,Gelas Plastik, (190ml; 200ml) ,PT TIRTA ALAM SEGAR, Kab. Bekasi, Jawa Barat
MD 268310018211,Minuman Teh,Tesona,Botol Plastik, (250ml; 300ml; 350ml),PT SARI ENESIS INDAH, Kab. Bekasi, Jawa Barat
MD 268310022211,Minuman Teh,Tesona,Botol Plastik, (250ml; 300ml; 350ml),PT SARI ENESIS INDAH, Kab. Bekasi, Jawa Barat
ML 168310129032,Minuman Teh Rasa Susu (Thai Milk Tea),JERI-ANN,Botol Kaca, (250ml),PT DINAMIK MULTI SUKSES, Kab. Bekasi, Jawa Barat
MD 268310003111,Minuman Teh Melati (Original),FRESTEA,Botol Plastik, (350ml; 500ml; 900ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268310017074,Minuman Teh Hitam,TeaBo,Botol Plastik PET, (250ml; 280ml; 300ml; 330ml; 360ml; 500ml),PT MINUMAN CITA RASA, Kota Jakarta Selatan, DKI Jakarta
MD 268313032045,Minuman Teh Rasa Teh Hijau Madu,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313087046,Minuman Teh Rasa Teh Hijau Madu,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310006444,Minuman Teh Wangi Melati,PUCUK HARUM,Botol Plastik, (250ml),PT TIRTA FRESINDO JAYA, Kota Jakarta Barat, DKI Jakarta
MD 268310022032,Minuman Teh Rasa Apel,FRESTEA,Botol Plastik, (350ml; 500ml; 900ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268310004111,Minuman Teh Hijau,FRESTEA,Botol Plastik, (350ml; 500ml; 900ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268310001062,Minuman Teh dengan Gula Batu,RIO,Gelas Plastik, (190ml; 200ml),PT TIRTA ALAM SEGAR, Kab. Bekasi, Jawa Barat
MD 468310090015,Minuman Teh Rasa Markisa ,SOSRO,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468310088015,Minuman Teh Rasa Lemon,SOSRO,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 568310117014,Minuman Teh Melati,SOSRO,Kaleng, (318ml; 330ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310050014,Minuman Teh Rasa Stroberi Anggur Sensasi Dingin,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 568310030014,Minuman Teh Rasa Apel,SOSRO,Kaleng, (318ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 566510103014,Minuman Teh Berkarbonasi Rasa Mix Fruit,TEBS,Kaleng, (330ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 568310048014,Minuman Teh Rasa Blackcurrant,SOSRO,Kaleng, (318ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268320068024,Minuman Teh Rasa Teh Hijau Madu,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310103243,Minuman Teh Rasa Teh Hijau Madu,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306070025,Minuman Teh Rasa Teh Hijau Madu,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310053243,Minuman Teh Rasa Melati,OTEE,Gelas Plastik, (140ml; 145ml; 150ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268328035095,Minuman Teh Tawar Rasa Melati,AJE AZLI,Botol Plastik, (350ml; 500ml; 1500ml),PT AJEINDONESIA, Kab. Bekasi, Jawa Barat
ML 568309308038,Minuman Teh Rasa Lemon (Ice Lemon Tea),SEASON,Kaleng, (300ml),PT KARTIKAWIRA ADISUKSES, Kota Jakarta Barat, DKI Jakarta
MD 268320020024,Minuman Teh Rasa Melati,OTEE,Gelas Plastik, (140ml; 145ml; 150ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313032095,Minuman Teh Melati,TE VETRO,Gelas Plastik, (180ml; 190ml; 200ml; 220ml; 230ml; 240ml),PT SEGAR SUMBER MAKMUR, Kab. Bogor, Jawa Barat
MD 268331009009,Minuman Teh Rasa Stroberi Anggur Sensasi Dingin (Fruit Tea Freeze),SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 266613001781,Minuman Teh Jahe,Mr Cesko ,Plastik, (180ml; 200ml; 350ml),PT SURAINDO AROMA CITRA, Kota Pasuruan, Jawa Timur
MD 268313035046,Minuman Teh Rasa Melati,OTEE,Gelas Plastik, (140ml; 145ml; 150ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313011045,Minuman Teh Rasa Melati,OTEE,Gelas Plastik, (140ml; 145ml; 150ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 468310200047,Minuman Teh Melati,SOSRO,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313002046,Minuman Teh (Original Tea),TEH GELAS,Botol Plastik, (350ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
ML 568309131055,Minuman Teh hijau Wangi Melati (Jasmine Green Tea),POKKA,Kaleng, (300ml),PT DIMA INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 468310111014,Minuman Teh Rasa Markisa,SOSRO,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268331339020,Minuman Teh Hijau Rasa Madu,SISRI,Gelas Plastik, (210ml; 220ml; 240ml),PT FORISA NUSAPERSADA, Kab. Tangerang, Banten
MD 268331340020,Minuman Teh Hijau Rasa Madu,SISRI,Gelas Plastik, (210ml; 220ml; 240ml),PT FORISA NUSAPERSADA, Kab. Tangerang, Banten
MD 268313009006,Minuman Teh Hitam Rasa Melati,Fiesta,Botol Plastik, (350ml; 450ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268306068025,Minuman Teh Rasa Melati,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320066024,Minuman Teh Rasa Melati,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313085046,Minuman Teh Rasa Melati,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268328098054,Minuman Teh Melati (Revive Me Jasmine),Caaya,Botol Plastik, (350ml),PT TIRTA INVESTAMA, Kota Jakarta Selatan, DKI Jakarta
MD 268331079041,Minuman Teh Rasa Vanila,TEH GELAS,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310012439,Minuman Teh Hijau Aroma Melati,POKKA,Botol Plastik, (250ml; 350ml; 450ml),PT POKKA DIMA INTERNATIONAL, Kab. Subang, Jawa Barat
MD 268331069029,Minuman Teh Rasa Apel,MOUNTEA,Gelas Plastik, (180ml),PT TRITEGUH MANUNGGALSEJATI, Kota Tangerang, Banten
MD 266528061016,Minuman Teh Berkarbonasi Rasa Apel,AJE BIG,Botol Plastik, (215ml; 250ml; 300ml; 375ml; 400ml; 425ml; 535 ),PT AJEINDONESIA, Kab. Bekasi, Jawa Barat
MD 268310022243,Minuman Teh Rasa Melati,TEH GELAS,Botol Plastik, (250ml; 350ml; 400ml; 425ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331075041,Minuman Teh Rasa Teh Hijau Madu,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268311013332,Minuman Teh Rasa Leci,everfresh,Gelas Plastik, (150ml; 160ml; 170ml; 180ml; 190ml),PT EVERFRESH INDOBEVERAGE, Kota Semarang, Jawa Tengah
MD 468310070015,Minuman Teh Hijau Rasa Jeruk Yuzu,SOSRO,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 668310054015,Minuman Teh Melati,S-tee,Pouch Aluminium Foil, (150ml; 200ml; 230ml; 250ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313030045,Minuman Teh Rasa Melati,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310095243,Minuman Teh Rasa Melati,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331073041,Minuman Teh Rasa Melati,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313083046,Minuman Teh Rasa Vanila,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313028045,Minuman Teh Rasa Vanila,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320064024,Minuman Teh Rasa Vanila,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 468313017034,Minuman Teh Melati,SOSRO,Karton Laminat, (250ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313007798,Minuman Teh Rasa Apel,HANNOI,Gelas Plastik, (150ml; 160ml; 175ml; 180ml; 200ml; 250ml; 295ml),PT HANNOI SUKSES INDONESIA, Kab. Mojokerto, Jawa Timur
MD 268313005798,Minuman Teh Rasa Blackcurrant,HANNOI,Gelas Plastik, (150ml; 160ml; 175ml; 180ml; 200ml; 250ml; 295ml),PT HANNOI SUKSES INDONESIA, Kab. Mojokerto, Jawa Timur
MD 268310003045,Minuman Teh Hijau Rasa Melati,FUTAMI 17,Botol Plastik, (485ml) ,PT FUTAMI FOOD & BEVERAGES, Kota Jakarta Utara, DKI Jakarta
MD 268313026006,Minuman Teh Putih Rasa Melati,Fiesta,Botol Plastik, (350ml; 450ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268313010006,Minuman Teh Hijau dengan Madu,Fiesta,Botol Plastik, (350ml; 450ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268313006238,Minuman Teh Oolong,MYTEA,Botol Plastik, (450ml),PT SUNTORY GARUDA BEVERAGE, Kota Jakarta Selatan, DKI Jakarta
MD 266528065016,Minuman Teh Melati Berkarbonasi,AJE BIG ,Botol Plastik, (215ml; 250ml; 300ml; 375ml; 400ml; 425ml),PT AJEINDONESIA, Kab. Bekasi, Jawa Barat
MD 268313023006,Minuman Teh Putih Rasa Leci,Fiesta,Botol Plastik, (350ml; 450ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268310023111,Minuman Teh Beraroma Melati,FRESTEA,Botol Plastik, (500ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268310064015,Minuman Teh Melati,S-tee,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310066015,Minuman Teh Rasa Vanila,S-tee,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268311026066,Minuman Teh Hijau,Cap Bandulan,Botol Plastik, (330ml; 500ml),CV BUDI DJAJA, Kota Pekalongan, Jawa Tengah
MD 268310093243,Minuman Teh Rasa Vanila,TEH GELAS,Botol Plastik, (250ml; 350ml; 400ml; 425ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313046006,Minuman Teh Rasa Leci,Sepet Wangi,Gelas Plastik, (200ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268311027066,Minuman Teh Hijau,Cap Bandulan,Gelas Plastik, (180ml; 215ml; 240ml),CV BUDI DJAJA, Kota Pekalongan, Jawa Tengah
MD 268331085072,MINUMAN TEH MELATI ,EMBROSE TIPTOP,Botol Plastik, (330ml; 350ml; 500ml; 1000ml),PT INDOSARI SARANA PANGAN ABADI, Kab. Tangerang, Banten
MD 268310010208,Minuman Teh Hijau Beraroma Melati,INDOMARET,Botol Plastik, (450ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
MD 268310039014,Minuman Teh Rasa Apel Blackcurrant,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
